
*497 - CONDOMINIO EDIFICIO RES. SOLAR DO CANTO                                                       ;ARTUR LUIZ MARTINS BARBOSA ME 003559                                      ;3.1.1.51 - SERVICO HIDRAULICO                     ;270                 ;1599                ;INCLUSAO            ;29/10/2021          ;1635526146          ;          
#-VERIFICAR BOMBA D AGUA ,  TROCA DA VALVULA DE RETENÇÃO DA CISTERNA,  TROCA DAS CONEXÕES DA BOMBA D AGUA,  VERIFICAR LUMINARIA DO AP 402 E TROCA DE 2 LAMPADAS LED;

*507 - CONDOMINIO RESIDENCIAL VARANDAS DO ATLANTICO                                                  ;PAULO TEODORO ALVES 001260                                                ;3.1.1.37 - CONSERTO LAVADORA DE PRESSAO           ;420,00              ;003809              ;INCLUSAO            ;29/10/2021          ;1635529620          ;          
#-carrinho completo lavadora karcher                                                                  ;

*506 - CONDOMINIO EDIFICIO DON JUAN RESIDENCE                                                        ;HUGO MARIO VERGARA ME 000093                                              ;3.1.1.41 - CONSERTO PORTAO                        ;260,00              ;949                 ;INCLUSAO            ;29/10/2021          ;1635537763          ;8441      
#-TROCA DO SENSOR ANTI-ESMAGAMENTO DOS PORTÕES DO LADO ESQUERDO, OLHANDO DE FRENTE PRO PRÉDIO.        ;

*446 - ASS. DOS ADQ. DE UN. COND. RES. BORBOLETA DO MAR                                              ;TUDO LIMPO 001932                                                         ;3.1.1.31 - MATERIAL LIMPEZA                       ;252,00              ;2401                ;INCLUSAO            ;30/10/2021          ;1635605948          ;          
#-ALCOOL E DESINFETANTE E CLORO ETC                                                                   ;

*479 - CONDOMINIO RESIDENCIAL MORADAS                                                                ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;238,50              ;16328               ;INCLUSAO            ;31/10/2021          ;1635685142          ;1A        
#-LUVA DESINFETANTE SABAO LIMPA VIDROS ODORIZANTE NAFTALINA ESPONJA E PAPEL HIGIENICO                 ;

*475 - CONDOMINIO BOULEVARD BOMBINHAS                                                                ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;170,00              ;16365               ;INCLUSAO            ;31/10/2021          ;1635685197          ;1A        
#-CLORO                                                                                               ;

*540 - CONDOMINIO RESIDENCIAL VILLAGE ECO PARK                                                       ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;377,10              ;16381               ;INCLUSAO            ;31/10/2021          ;1635685254          ;1A        
#-CLORO SACO LIXO ESSENCIA ALCOOL DE CEREAIS BLOCO PARA CAIXA ACOPLADA                                ;

*124 - CONDOMINIO EDIFICIO GRUTA AZURRA                                                              ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;108,30              ;16378               ;INCLUSAO            ;31/10/2021          ;1635685315          ;1A        
#-PANO CLORO SACO LIXO LIMPADOR PERFUMADO E DETERGENTE                                                ;

*400 - CONDOMINIO PANORÂMICO BOMBINHAS                                                               ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;272,75              ;16375               ;INCLUSAO            ;31/10/2021          ;1635685378          ;1A        
#-DETERGENTE PAPEL HIGIENICO ALVEJANTE SEM CLORO ESPONJA PANOS DESINCRUSTANTE LIMPA ALUMINIO E PALHA DE AÇO;

*487 - CONDOMINIO EDIFICIO RESIDENCIAL PORTOFINO II                                                  ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;59,85               ;16362               ;INCLUSAO            ;31/10/2021          ;1635685416          ;1A        
#-DETERGENTE ODORIZANTE E FIBRA ABRASIVA                                                              ;

*499 - CONDOMINIO RESIDENCIAL AQUARIUS                                                               ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;87,70               ;16357               ;INCLUSAO            ;31/10/2021          ;1635685453          ;1A        
#-DETERGENTE E LIMPADOR PERFUMADO                                                                     ;

*532 - CONDOMINIO RESIDENCIAL ATHENAS                                                                ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;160,60              ;16341               ;INCLUSAO            ;31/10/2021          ;1635685494          ;1A        
#-SACO LIXO MOP FIBRA ABRASIVA E MULTIUSO                                                             ;

*190 - CONDOMINIO ED. RES. COSTA BRAVA                                                               ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;170,00              ;16337               ;INCLUSAO            ;31/10/2021          ;1635685525          ;1A        
#-CLORO                                                                                               ;

*504 - CONDOMINIO RESIDENCIAL SIGNUS                                                                 ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;129,20              ;16331               ;INCLUSAO            ;31/10/2021          ;1635685559          ;1A        
#-ODORIZANTE TOALHA DE PISO ALCOOL E VASSOURA                                                         ;

*512 - CONDOMINIO EDF. COSTA BRAVA RESIDENCE                                                         ;ARTUR LUIZ MARTINS BARBOSA ME 003559                                      ;3.1.1.51 - SERVICO ELETRICO                       ;290                 ;1591                ;INCLUSAO            ;01/11/2021          ;1635764610          ;          
#-ATENDIMENTO NO DOMINGO,  TROCA DA BOIA ELÉTRICA SUPERIOR,  DESTRAVAR BOMBA D AGUA  ,  TROCA DA BOMBA DA PONTEIRA ( DEIXADA UMA RESERVA PARA O CONDOMÍNIO);

*534 - LA ROSADITA - ASS. DOS MOR. DA RUA BIGUA 336                                                  ;HUGO MARIO VERGARA ME 000093                                              ;3.1.1.52 - CONSERTO INTERNET/TELEFONE             ;818,35              ;2850                ;INCLUSAO            ;01/11/2021          ;1635764819          ;8450      
#-PRESTAÇÃO DE SERVIÇO DE ASSISTÊNCIA TÉCNICA PREVENTIVA, PROGRAMADA E DE SUPORTE PRESENCIAL OU VIA TELEFÔNICA E WHATSAPP DO SISTEMA DISTRIBUIÇÃO DE REDE DE INTERNET DO CONDOMÍNIO E DAS SEGUINTES UNIDADES DE APTOS: ZELADOR, 101, 102, 103, 201, 202, 204, 207, 208, 301, 302, 304, 307, 401, 402, 406, 408 E 409.;

*506 - CONDOMINIO EDIFICIO DON JUAN RESIDENCE                                                        ;ANDERSON JOSE BILCKE 000901                                               ;3.1.1.45 - MANUTENCAO JARDIM                      ;200,00              ;759                 ;INCLUSAO            ;01/11/2021          ;1635775523          ;A1        
#-MANUTECAO MENSAL DO JARDIM REFERENTE MES 10                                                         ;

*515 - CONDOMINIO RESIDENCIAL AGUAS AZUIS                                                            ;ANDERSON JOSE BILCKE 000901                                               ;3.1.1.45 - MANUTENCAO JARDIM                      ;350,00              ;758                 ;INCLUSAO            ;01/11/2021          ;1635775585          ;A1        
#-MANUTECAO MENSAL DO JARDIM REFERENTE MES 10                                                         ;

*437 - CONDOMINIO EDIFICIO RESIDENCIAL BESENELLO                                                     ;ANDERSON JOSE BILCKE 000901                                               ;3.1.1.45 - MANUTENCAO JARDIM                      ;270,00              ;757                 ;INCLUSAO            ;01/11/2021          ;1635775664          ;A1        
#-MANUTECAO MENSAL DO JARDIM REFERENTE MES 10                                                         ;

*505 - CONDOMINIO EDIFICIO COSTA DO SOL RESIDENCE                                                    ;ANDERSON JOSE BILCKE 000901                                               ;3.1.1.45 - MANUTENCAO JARDIM                      ;250,00              ;756                 ;INCLUSAO            ;01/11/2021          ;1635775734          ;A1        
#-MANUTECAO MENSAL DO JARDIM REFERENTE MES 10                                                         ;

*471 - CONDOMINIO RESIDENCIAL SAGITARIUS                                                             ;ANDERSON JOSE BILCKE 000901                                               ;3.1.1.45 - MANUTENCAO JARDIM                      ;250,00              ;76347132            ;INCLUSAO            ;01/11/2021          ;1635775791          ;A1        
#-MANUTECAO MENSAL DO JARDIM REFERENTE MES 10                                                         ;

*523 - CONDOMINIO EDIFICIO RESIDENCIAL PORTO MADERO                                                  ;ANDERSON JOSE BILCKE 000901                                               ;3.1.1.45 - MANUTENCAO JARDIM                      ;200,00              ;5614U47213          ;INCLUSAO            ;01/11/2021          ;1635775851          ;A1        
#-MANUTECAO MENSAL DO JARDIM REFERENTE MES 10                                                         ;

*503 - CONDOMINIO RESIDENCIAL BAIA DOURADA                                                           ;ANDERSON JOSE BILCKE 000901                                               ;3.1.1.45 - MANUTENCAO JARDIM                      ;200,00              ;3UO2U52O            ;INCLUSAO            ;01/11/2021          ;1635775914          ;A1        
#-MANUTECAO MENSAL DO JARDIM REFERENTE MES 10                                                         ;

*519 - CONDOMINIO RESIDENCIAL BRISAS DO MAR (QUATRO ILHAS)                                           ;ANDERSON JOSE BILCKE 000901                                               ;3.1.1.45 - MANUTENCAO JARDIM                      ;550,00              ;89703589752         ;INCLUSAO            ;01/11/2021          ;1635775980          ;A1        
#-MANUTECAO MENSAL DO JARDIM REFERENTE MES 10                                                         ;

*484 - CONDOMINIO ED. RES. AGUAS DE MARÇO                                                            ;ANDERSON JOSE BILCKE 000901                                               ;3.1.1.45 - MANUTENCAO JARDIM                      ;550,00              ;7352782O85024523    ;INCLUSAO            ;01/11/2021          ;1635776048          ;A1        
#-MANUTECAO MENSAL DO JARDIM REFERENTE MES 10                                                         ;

*145 - CONDOMINIO RES. KARINA                                                                        ;ANDRE SLOWIK 76544613991 000855                                           ;3.1.1.51 - SERVICO PINTURA                        ;750,00              ;360                 ;INCLUSAO            ;01/11/2021          ;1635776314          ;1         
#-Material e mão de obra pintura apto 401 ,infiltração na laje                                        ;

