
*485 - CONDOMINIO RESIDENCIAL EGIDIO PINHEIRO                                                        ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;160,00              ;988                 ;INCLUSAO            ;02/12/2021          ;1638442681          ;          
#-Regular boias elétricas, troca de boia mecânica 26/11 com material                                  ;

*451 - CONDOMINIO RESIDENCIAL FREDERICO                                                              ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;420,00              ;989                 ;INCLUSAO            ;02/12/2021          ;1638442878          ;          
#-Troca 3 sensores, conserto e troca rondana portão garagem 26/11 com material                        ;

*484 - CONDOMINIO ED. RES. AGUAS DE MARÇO                                                            ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.41 - CONSERTO PORTAO                        ;220,00              ;990                 ;INCLUSAO            ;02/12/2021          ;1638443035          ;          
#-Regular mola, troca da trava batendo 26/11                                                          ;

*432 - CONDOMINIO ED. RES. PATRICIA                                                                  ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO HIDRAULICO                     ;870,00              ;991                 ;INCLUSAO            ;02/12/2021          ;1638443228          ;          
#-Troca motor fossa, cano flexível fossa, lavar cisternas e instalar duas válvulas de retenção nas bombas de água 26/11 com válvulas;

*516 - CONDOMINIO RESIDENCIAL FLORES DE VENERANDA                                                    ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.41 - CONSERTO PORTAO                        ;180,00              ;992                 ;INCLUSAO            ;02/12/2021          ;1638443552          ;          
#-Regular mola hall, e levantar mola                                                                  ;

*140 - CONDOMINIO EDIFICIO RESIDENCIAL BEIJA-FLOR II                                                 ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;180,00              ;993                 ;INCLUSAO            ;02/12/2021          ;1638443685          ;          
#-Troca boia eletrica caixa de água com material                                                      ;

*400 - CONDOMINIO PANORÂMICO BOMBINHAS                                                               ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;273,70              ;16699               ;INCLUSAO            ;02/12/2021          ;1638443707          ;1A        
#-SACOS PARA LIXO                                                                                     ;

*475 - CONDOMINIO BOULEVARD BOMBINHAS                                                                ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;195,00              ;16722               ;INCLUSAO            ;02/12/2021          ;1638443749          ;1A        
#-CLORO                                                                                               ;

*502 - CONDOMINIO PUNTA BLU RESIDENCE                                                                ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;1468,80             ;16690               ;INCLUSAO            ;02/12/2021          ;1638443817          ;1A        
#-ALVEJANTE ODORIZANTE ALCOOL SACO PARA LIXO VASSOURA SAPOLIO                                         ;

*506 - CONDOMINIO EDIFICIO DON JUAN RESIDENCE                                                        ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO HIDRAULICO                     ;80,00               ;994                 ;INCLUSAO            ;02/12/2021          ;1638443847          ;          
#-Verificar pressão de água do prédio, ar no sistema 28/11                                            ;

